Customer_ID,Age,Gender,Annual_Income,Spending_Score,Subscription_Type,Region,Churn
CUST8499,,Male,,low,,South,Y
CUST2495,36,Female,,low,Basic,East,
CUST9330,,Female,unknown,high,Basic,East,Y
CUST8784,,,,,Premium,North,
CUST5356,,M,88552,low,Standard,West,Yes
CUST2448,N/A,M,,high,,,
CUST8646,,F,unknown,low,,,
CUST9984,34,Male,unknown,34,,,
CUST8786,,M,,,,North,
CUST2127,,Male,101580,high,,North,
,,F,,low,,East,Y
CUST5797,,,,high,Premium,North,
CUST1828,N/A,,unknown,high,,North,No
CUST7776,,Male,,high,Premium,East,
CUST3191,N/A,F,unknown,high,Standard,,
CUST6842,N/A,Male,,43,,,Y
CUST9385,,Male,,3,Premium,South,N
CUST6371,64,,81649,high,Premium,West,
CUST8298,,,,high,,,
CUST7644,N/A,M,,high,Standard,,
CUST3029,,F,41037,,,East,Y
CUST6803,61,Male,,high,,West,N
CUST2891,,M,unknown,48,,,
CUST5255,N/A,Male,,,Basic,North,N
CUST5339,18,,,low,,North,No
CUST2146,N/A,,,low,Premium,West,Yes
CUST5890,57,,,high,,East,
CUST5964,,Female,54286,low,Premium,,
CUST7813,41,Female,,42,Standard,North,
CUST8585,N/A,Male,unknown,high,,West,
CUST9859,,,unknown,,,,
CUST5200,,M,unknown,,Basic,,
CUST1978,N/A,Male,,76,Premium,North,No
CUST4290,N/A,Female,unknown,,Basic,,No
CUST5585,N/A,,,,Premium,East,Y
CUST4699,56,,,51,,,
CUST4978,,F,,low,Basic,,N
CUST5374,,,,,Basic,North,N
CUST9245,,M,,,,North,
CUST5541,,Male,unknown,high,,South,
CUST7566,,,unknown,low,Basic,East,
CUST7224,27,M,unknown,high,Standard,East,
CUST7175,,Female,,low,Basic,North,
CUST6180,,,,high,,,
CUST6965,,M,,high,,West,N
CUST5152,N/A,,,low,,West,No
CUST6441,,F,unknown,low,Basic,South,N
CUST4491,53,,,low,,West,Yes
CUST1416,N/A,,unknown,low,Premium,North,
CUST7898,,Female,,high,,West,
CUST4680,,,,low,Standard,South,N
CUST5034,,,unknown,high,,East,Y
CUST5908,,,unknown,,Standard,West,
CUST4522,48,M,,low,Basic,,
CUST1783,,Male,30573,high,,West,
CUST4836,N/A,,unknown,79,Premium,North,Yes
CUST3197,N/A,Male,,low,,,
CUST8946,42,Female,unknown,,Standard,South,
CUST4134,N/A,,83095,high,Basic,East,Yes
CUST1342,,,53659,13,Basic,West,Yes
